Image_file,set,treatment,plant,rep,leaf,petioleLength,bladeLength,bladeWidth,bladeArea,bladePerimeter,bladeCircularity,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,7,4,5.009,8.189,5.451,35.061,61.383,0.117,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,7,5,6.326,14.735,9.275,107.331,57.319,0.411,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,7,6,7.382,17.709,10.391,144.523,63.077,0.456,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,7,7,5.513,16.52,7.989,103.659,60.029,0.361,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,7,8,3.41,16.838,7.94,105.009,58.843,0.381,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,7,9,3.498,15.771,5.546,68.693,49.53,0.352,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,8,1,4.592,6.948,6.283,34.285,31.835,0.425,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,8,2,3.511,5.766,5.167,23.398,40.047,0.183,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,8,3,6.188,10.041,7.86,61.989,46.567,0.359,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,8,4,6.528,11.858,8.816,82.102,34.966,0.844,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,8,5,6.925,13.841,9.212,100.145,52.239,0.461,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,8,6,8.078,14.672,9.222,106.274,53.255,0.471,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,8,7,4.576,15.194,7.713,92.039,51.477,0.436,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,8,8,4.515,14.669,7.399,85.244,53.086,0.38,,
2016moreSASmut_exp3004.tif (blue),C,sun,npr2/3/4,8,9,0.697,12.213,5.738,55.043,46.821,0.316,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,1,1,5.479,8.279,7.111,46.235,33.189,0.527,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,1,2,4.626,7.847,6.599,40.667,33.951,0.443,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,1,3,9.069,12.117,9.594,91.304,45.72,0.549,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,1,4,8.114,14.512,10.98,125.148,54.949,0.521,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,1,5,10.505,19.372,11.576,176.123,68.58,0.471,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,1,6,10.014,18.122,10.976,156.218,64.77,0.468,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,1,7,10.105,20.145,9.963,157.636,69.003,0.416,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,1,8,9.156,18.68,10.268,150.634,65.024,0.448,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,1,9,5.65,20.74,9.707,158.113,71.628,0.387,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,1,10,7.393,19.007,8.983,134.105,64.601,0.404,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,1,11,2.982,18.648,6.742,98.742,59.351,0.352,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,2,1,3.732,6.528,5.2,26.658,29.633,0.381,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,2,2,3.77,5.14,4.579,18.486,24.215,0.396,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,2,3,7.421,14.321,7.984,89.799,53.001,0.402,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,2,4,7.771,12.725,7.597,75.925,48.937,0.398,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,2,5,6.191,12.536,7.772,76.521,43.011,0.52,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,2,6,6.72,14.012,7.173,78.939,48.853,0.416,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,2,7,9.605,18.705,9.283,136.381,66.379,0.389,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,2,8,7.622,16.556,7.713,100.297,55.965,0.402,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,2,9,8.178,18.681,8.371,122.822,61.637,0.406,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,2,10,8.132,20.17,9.142,144.819,65.617,0.423,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr4,2,11,2.17,15.523,4.603,56.124,46.482,0.326,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr2/3/4,9,1,5.189,8.269,6.611,42.932,32.258,0.518,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr2/3/4,9,2,4.011,7.528,6.171,36.487,35.56,0.363,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr2/3/4,9,3,10.37,13.583,9.533,101.695,50.461,0.502,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr2/3/4,9,4,10.628,16.12,10.64,134.715,60.452,0.463,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr2/3/4,9,5,11.405,18.33,11.017,158.6,66.04,0.457,,
2016moreSASmut_exp3005.tif (blue),C,sun,npr2/3/4,9,6,13.728,18.318,11.347,163.245,66.294,0.467,,
